
"Rank","Name","Symbol","operating_margin_ttm","price (USD)","country"
"416","CEAT","CEATLTD.NS","321.65","11.74","India"
"417","Nykaa","NYKAA.NS","320.946","18.47","India"
"418","Quess","QUESS.NS","318.961","7.68","India"
"419","Motherson Sumi Systems","MOTHERSUMI.NS","312.952","1.57","India"
"420","Hinduja Ventures","NXTDIGITAL.NS","299.088","4.78","India"
"421","Adani Wilmar","AWL.NS","295.046","7.45","India"
"422","Shankara Building","SHANKARA.NS","290.935","8.66","India"
"423","Hindustan Petroleum","HINDPETRO.NS","290.905","2.8","India"
"424","Dixon Technologies","DIXON.NS","279.104","46.16","India"
"425","Redington India","REDINGTON.NS","277.412","1.62","India"
"426","Subros","SUBROS.NS","250.549","3.91","India"
"427","AGC Networks","AGCNET.NS","225.179","12.11","India"
"428","Life Insurance Corporation of India (LIC)","LICI.NS","204.046","8.36","India"
"429","SBI Life Insurance","SBILIFE.NS","187.411","13.53","India"
"430","Mahindra Logistics","MAHLOG.NS","184.375","5.84","India"
"431","Gati","GATI.NS","183.812","1.71","India"
"432","Igarashi Motors India","IGARASHI.NS","161.229","3.67","India"
"433","Max Financial Services","MFSL.NS","145.835","9.96","India"
"434","JCI Hitachi India","JCHAC.NS","145.439","19.79","India"
"435","New India Assurance","NIACL.NS","53.4937","1.02","India"
"436","National Fertilizers","NFL.NS","46.5244","0.53","India"
"437","Rajesh Exports","RAJESHEXPO.NS","42.8833","7.79","India"
"438","Huhtamaki India","HUHTAMAKI.NS","38.7551","2.14","India"
"439","Spencer's Retail","SPENCERS.NS","1.3092","0.91","India"
"440","Kokuyo Camlin","KOKUYOCMLN.NS","-43.9858","0.7","India"
"441","Chalet Hotels","CHALET.NS","-57.2873","3.97","India"
"442","Future Supply Chain Solutions","FSC.NS","-82.6899","0.38","India"
"443","IFB Industries","IFBIND.NS","-121.39","11.66","India"
"444","Force Motors","FORCEMOT.NS","-271.658","13.25","India"
"445","Radio City","RADIOCITY.NS","-293.287","0.29","India"
"446","Tata Motors","TTM","-406.41","26.24","India"
"447","Ashiana Housing","ASHIANA.NS","-489.568","1.6","India"
"448","EIH Limited","EIHOTEL.NS","-497.289","1.59","India"
"449","MMTC","MMTC.NS","-583.658","0.52","India"
"450","Spandana Sphoorty Financial","SPANDANA.NS","-590.786","5.2","India"
"451","Jaypee Group","JPASSOCIAT.NS","-619.87","0.09","India"
"452","3i Infotech","3IINFOLTD.NS","-647.897","0.54","India"
"453","Orient Paper Mills","ORIENTPPR.NS","-668.948","0.31","India"
"454","MakeMyTrip","MMYT","-701.39","26.21","India"
"455","Lupin Limited","LUPIN.NS","-762.479","7.87","India"
"456","GE Power India","GEPIL.NS","-789.321","1.73","India"
"457","SML Isuzu","SMLISUZU.NS","-857.1","7.28","India"
"458","Delhivery","DELHIVERY.NS","-1065.7","6.37","India"
"459","PVR Cinemas","PVR.NS","-1381.38","23.29","India"
"460","InterGlobe Aviation","INDIGO.NS","-1466.34","20.41","India"
"461","Strides Pharma","STAR.NS","-1555.2","4.43","India"
"462","sterling &amp; wilson solar","SWSOLAR.NS","-1605.16","3.9","India"
"463","Omaxe","OMAXE.NS","-1811.76","1.11","India"
"464","SpiceJet","SPICEJET.NS","-1812.35","0.48","India"
"465","Vodafone Idea","IDEA.NS","-1887.61","0.11","India"
"466","Yatra","YTRA","-2012.08","2.2","India"
"467","Tejas Networks","TEJASNET.NS","-2043.64","5.89","India"
"468","Barbeque Nation Hospitality","BARBEQUE.NS","-2272.75","13.69","India"
"469","Reliance Communications","RCOM.NS","-2330.88","0.03","India"
"470","Zomato","ZOMATO.NS","-2431.66","0.76","India"
"471","Future Retail","FRETAIL.NS","-3443.43","0.09","India"
"472","Balaji Telefilms","BALAJITELE.NS","-3850.46","0.54","India"
"473","Mahanagar Telephone Nigam","MTNL.NS","-4207.46","0.24","India"
"474","PB Fintech","POLICYBZR.NS","-4785.76","7.5","India"
"475","Paytm","PAYTM.NS","-4963.19","8.96","India"
"476","GTL Infrastructure","GTLINFRA.NS","-5000.14","0.01","India"
"477","Inox Wind","INOXWIND.NS","-5023.89","1.03","India"
"478","Dish TV","DISHTV.NS","-7194.38","0.17","India"
"479","Unitech Group","UNITECH.NS","-7560","0.02","India"
"480","Coffee Day Enterprises","COFFEEDAY.NS","-7791.12","0.56","India"
"481","SPARC","SPARC.NS","-13807.9","2.73","India"
"482","Srei Infrastructure Finance","SREINFRA.NS","","0.05","India"
"483","Housing Development Finance Corporation","HDFC.NS","","27.5","India"
"484","Axis Bank","AXISBANK.BO","","8.06","India"
"485","Varroc","VARROC.NS","","3.81","India"
"486","Karnataka Bank","KTKBANK.NS","","0.82","India"
"487","Bank of Baroda","BANKBARODA.NS","","1.27","India"
"488","Bandhan Bank","BANDHANBNK.NS","","3.43","India"
"489","IIFL Finance","IIFL.NS","","4.02","India"
"490","Karur Vysya Bank","KARURVYSYA.NS","","0.57","India"
"491","Hudco","HUDCO.NS","","0.44","India"
"492","Info Edge","NAUKRI.NS","","48.13","India"
"493","IDFC FIRST Bank","IDFCFIRSTB.NS","","0.4","India"
"494","South Indian Bank","SOUTHBANK.NS","","0.1","India"
"495","Repco Home Finance","REPCOHOME.NS","","1.73","India"
"496","Canara Bank","CANBK.NS","","2.35","India"
"497","Alembic Limited","ALEMBICLTD.NS","","0.77","India"
"498","Rural Electrification Corp","RECLTD.NS","","1.52","India"
"499","Yes Bank","YESBANK.NS","","0.16","India"
"500","IIFL Wealth Management","IIFLWAM.NS","","18.15","India"
"501","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","","58.62","India"
"502","Bank of India","BANKINDIA.NS","","0.56","India"
"503","Paisalo Digital","PAISALO.NS","","10.18","India"
"504","Indiabulls Housing Finance","IBULHSGFIN.NS","","1.25","India"
"505","RBL Bank","RBLBANK.NS","","1.08","India"
"506","Muthoot Finance","MUTHOOTFIN.NS","","12.27","India"
"507","Indian Overseas Bank","IOB.NS","","0.21","India"
"508","Edelweiss Financial Services","EDELWEISS.NS","","0.65","India"
"509","SBI Card","SBICARD.NS","","9.81","India"
"510","ICICI Prulife","ICICIPRULI.NS","","6.11","India"
"511","Religare","RELIGARE.NS","","1.54","India"
"512","Hindustan Sanitaryware &amp; Industries","HSIL.NS","","3.79","India"
"513","Kotak Mahindra Bank","KOTAKBANK.NS","","20.88","India"
"514","Cholamandalam Investment and Finance","CHOLAFIN.NS","","8","India"
"515","Power Finance Corp","PFC.NS","","1.31","India"
"516","Punjab &amp; Sind Bank","PSB.NS","","0.18","India"
"517","CSB Bank","CSBBANK.NS","","2.51","India"
"518","IDFC","IDFC.NS","","0.63","India"
"519","Jump Networks","JUMPNET.NS","","0.12","India"
"520","Dhampur Sugar Mills","DHAMPURSUG.NS","","2.81","India"
"521","State Bank of India","SBIN.NS","","5.85","India"
"522","Indian Bank","INDIANB.NS","","1.92","India"
"523","Kirloskar Ferrous Industries","KIRLFER.NS","","2.56","India"
"524","Punjab National Bank","PNB.NS","","0.37","India"
"525","Bank of Maharashtra","MAHABANK.NS","","0.2","India"
"526","Federal Bank","FEDERALBNK.NS","","1.15","India"
"527","HDFC Life","HDFCLIFE.NS","","6.95","India"
"528","City Union Bank","CUB.NS","","1.74","India"
"529","Bajaj Finance","BAJFINANCE.NS","","70.14","India"
"530","Union Bank of India","UNIONBANK.NS","","0.44","India"
"531","IDBI Bank","IDBI.NS","","0.39","India"
"532","LIC Housing Finance","LICHSGFIN.NS","","4.14","India"
"533","AU Small Finance Bank","AUBANK.NS","","7.3","India"
"534","ICICI Bank","IBN","","17.74","India"
"535","Shriram Transport Finance","SRTRANSFIN.NS","","15.53","India"
