
"Rank","Name","Symbol","operating_margin_ttm","price (USD)","country"
"59","Gujarat Fluorochemicals","FLUOROCHEM.NS","2841.78","34.67","India"
"60","National Aluminum &amp; Alloy","NATIONALUM.NS","2802.3","0.9","India"
"61","Colgate-Palmolive India","COLPAL.NS","2791.36","19.12","India"
"62","RITES","RITES.NS","2790.21","2.91","India"
"63","Accelya","ACCELYA.NS","2783.43","11.17","India"
"64","Mahindra Lifespaces","MAHLIFE.NS","2754.71","5.22","India"
"65","Tata Consultancy Services","TCS.NS","2736.61","42.02","India"
"66","Indian Metals &amp; Ferro Alloys","IMFA.NS","2732.47","3.48","India"
"67","Aditya Birla Capital","ABCAPITAL.NS","2691.07","1.13","India"
"68","Gujarat Mineral Development","GMDCLTD.NS","2688.49","1.78","India"
"69","MSTC Limited","MSTCLTD.NS","2685.24","3.11","India"
"70","MPS Limited","MPSLTD.NS","2661.15","9.07","India"
"71","Bharat Dynamics","BDL.NS","2627.75","8.89","India"
"72","Quick Heal","QUICKHEAL.NS","2615.33","2.04","India"
"73","Lodha Group","LODHA.NS","2595.28","13.36","India"
"74","Jindal Poly Films","JINDALPOLY.NS","2595.2","12.91","India"
"75","Jindal Steel &amp; Power","JINDALSTEL.NS","2561.88","4.24","India"
"76","Indraprastha Gas","IGL.NS","2551.75","4.58","India"
"77","Bharti Airtel","BHARTIARTL.NS","2494.71","8.63","India"
"78","HEG","HEG.NS","2490.97","12.91","India"
"79","Infosys","INFY","2490.5","18.46","India"
"80","Hester Biosciences","HESTERBIO.NS","2450.52","25.72","India"
"81","Balkrishna Industries","BALKRISIND.NS","2425.34","27.5","India"
"82","Dr Lal PathLabs","LALPATHLAB.NS","2423.08","28.07","India"
"83","JSW Steel","JSWSTEEL.NS","2419.68","7.31","India"
"84","Adani Total Gas","ATGL.NS","2417.33","31.02","India"
"85","Coal India","COALINDIA.NS","2396.28","2.35","India"
"86","Laurus Labs","LAURUSLABS.NS","2373.06","5.91","India"
"87","Bajaj Auto","BAJAJ-AUTO.NS","2370.55","49.14","India"
"88","Aarti Industries","AARTIIND.NS","2347.94","8.91","India"
"89","Happiest Minds Technologies","HAPPSTMNDS.NS","2323.49","10.78","India"
"90","Kaveri Seed","KSCL.NS","2304.05","6.33","India"
"91","Tata Steel","TATASTEEL.NS","2295.93","11.16","India"
"92","Mahanagar Gas","MGL.NS","2290.55","9.72","India"
"93","Hindustan Unilever","HINDUNILVR.NS","2288.8","28.69","India"
"94","Hindustan Copper","HINDCOPPER.NS","2257.16","1.13","India"
"95","Reliance Power","RPOWER.NS","2251.36","0.15","India"
"96","NTPC Limited","NTPC.NS","2248.72","1.74","India"
"97","Kitex Garments","KITEX.NS","2233.34","2.88","India"
"98","Abbott India","ABBOTINDIA.NS","2233.04","232.77","India"
