Name,Rating,Review,C-Type,HQ,Old,Employees,Site,Sector
Abbott Healthcar...,,(4.2k Reviews),Public,"Illinois City,Illinois + 145 more",31 years old,10k-50k Employees (India),,
Capgemini Techno...,,(2.1k Reviews),Bengaluru/Bangalore + 23 more,,,,,
Subros,,(2.1k Reviews),Public,"Noida,Uttar Pradesh + 34 more",37 years old,1k-5k Employees (India),,
Thermax,,(2.4k Reviews),Public,"Pune,Maharashtra + 123 more",42 years old,1k-5k Employees (India),,
Muthoot Finance,,(2.1k Reviews),Public,"Kochi/Cochin,Kerala + 392 more",83 years old,10k-50k Employees (India),,
Hindustan Coca C...,,(2.1k Reviews),Private,Bangalore + 164 more,25 years old,5k-10k Employees (India),,
Intas Pharmaceut...,,(2.1k Reviews),Private,"Ahmedabad,Gujrat + 97 more",22 years old,10k-50k Employees (India),,
Simplex Infrastr...,,(2.3k Reviews),Public,"Kolkata,West Bengal + 122 more",98 years old,1k-5k Employees (India),,
Automatic Data P...,,(2.1k Reviews),New Jersey + 9 more,73 years old,1k-5k Employees (India),,,
Wipro Enterprise...,,(32.1k Reviews),Bangalore + 63 more,77 years old,1 Lakh+ Employees (India),,,
VE Commercial Ve...,,(2.0k Reviews),Private,"Gurgaon/Gurugram,Haryana + 102 more",14 years old,1k-5k Employees (India),,
Muthoot Group,,(4.6k Reviews),Public,"Wedel,Schleswig-holstein + 323 more",135 years old,1k-5k Employees (India),,
Optum,,(2.0k Reviews),Private,Minnesota + 19 more,45 years old,10k-50k Employees (India),,
Gati kwe,,(2.0k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 142 more",10 years old,5k-10k Employees (India),,
Atos,,(7.8k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India),,
Varun Beverages,,(2.0k Reviews),Public,"Gurgaon/Gurugram,Haryana + 187 more",27 years old,10k-50k Employees (India),,
Virtusa Consulti...,,(2.1k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India),,
Arvind Group,,(2.4k Reviews),Public,"Ahmedabad,Gujrat + 127 more",91 years old,10k-50k Employees (India),,
NatWest Group,,(2.2k Reviews),Government,Gurgaon/Gurugram + 18 more,10k-50k Employees (India),,,
Macleods Pharmac...,,(2.0k Reviews),Public,"Mumbai,Maharashtra + 74 more",36 years old,5k-10k Employees (India),,
Swiggy,,(2.2k Reviews),Private,"Bangalore,Karnataka + 135 more",8 years old,10k-50k Employees (India),,
Indian Air Force,,(2.0k Reviews),Private,"New Delhi,Delhi + 97 more",90 years old,1 Lakh+ Employees (India),,
Alembic Pharmace...,,(2.0k Reviews),Public,"Vadodara/Baroda,Gujrat + 117 more",115 years old,10k-50k Employees (India),,
American Express,,(2.0k Reviews),Private,"New York City,New York + 34 more",172 years old,10k-50k Employees (India),,
Shoppers Stop,,(2.0k Reviews),Public,"Mumbai,Maharashtra + 55 more",31 years old,5k-10k Employees (India),,
Randstad,,(2.0k Reviews),Private,"Chennai,Tamil Nadu + 198 more",30 years old,1k-5k Employees (India),,
Cgi Group,,(2.0k Reviews),Private,"Montreal,Quebec + 13 more",46 years old,10k-50k Employees (India),,
Bel,,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 33 more",68 years old,5k-10k Employees (India),,
CMS IT Services,,(1.9k Reviews),Private,"Bangalore,Karnataka + 115 more",8 years old,5k-10k Employees (India),,
Glenmark Pharmac...,,(1.9k Reviews),Public,"Mumbai,Maharashtra + 109 more",45 years old,10k-50k Employees (India),,
Suzlon Group,,(1.9k Reviews),Public,"Pune,Maharashtra + 84 more",27 years old,5k-10k Employees (India),,
ABB Group,,(1.9k Reviews),Public,Zurich + 84 more,21 years old,10k-50k Employees (India),,
DTDC Express,,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 185 more",32 years old,5k-10k Employees (India),,
Alkem Laboratori...,,(1.9k Reviews),Public,"Mumbai,Maharashtra + 117 more",49 years old,10k-50k Employees (India),,
Deutsche Bank,,(2.1k Reviews),Private,Frankfurt + 28 more,152 years old,10k-50k Employees (India),,
McDonald's,,(1.9k Reviews),Private,"Chicago,Illinois + 120 more",67 years old,5k-10k Employees (India),,
Honda Motorcycle...,,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 167 more",23 years old,1k-5k Employees (India),,
Pidilite Industr...,,(2.0k Reviews),Public,"Mumbai,Maharashtra + 174 more",63 years old,5k-10k Employees (India),,
DCB Bank,,(1.9k Reviews),Private,"Mumbai,Maharashtra + 242 more",92 years old,5k-10k Employees (India),,
Piramal Capital ...,,(1.9k Reviews),Mumbai + 219 more,4 years old,1k-5k Employees (India),,,
Havells,,(2.1k Reviews),Public,"Noida,Uttar Pradesh + 121 more",39 years old,5k-10k Employees (India),,
Reliance Nippon ...,,(1.9k Reviews),Private,"Mumbai,Maharashtra + 382 more",22 years old,10k-50k Employees (India),,
Lava Internation...,,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 198 more",13 years old,1k-5k Employees (India),,
Ipca Laboratorie...,,(1.9k Reviews),Public,"Mumbai,Maharashtra + 101 more",73 years old,10k-50k Employees (India),,
Standard Charter...,,(5.6k Reviews),Private,London + 57 more,53 years old,10k-50k Employees (India),,
CARS24,,(1.9k Reviews),Private,"Gurgaon,Haryana + 130 more",7 years old,5k-10k Employees (India),,
KocharTech,,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 18 more",27 years old,1k-5k Employees (India),,
Bajaj Electrical...,,(1.8k Reviews),Public,"Mumbai,Maharashtra + 160 more",84 years old,5k-10k Employees (India),,
Indian Oil Corpo...,,(2.0k Reviews),Private,"Delhi/NCR,Delhi + 180 more",63 years old,10k-50k Employees (India),,
Conduent,,(1.8k Reviews),Private,"Florham Park,New Jersey + 18 more",5 years old,5k-10k Employees (India),,
24/7 Customer,,(1.8k Reviews),Private,"San Jose,California + 21 more",22 years old,5k-10k Employees (India),,
Hindalco Industr...,,(1.9k Reviews),Public,"Mumbai,Maharashtra + 64 more",64 years old,10k-50k Employees (India),,
L&T Technology S...,,(1.8k Reviews),Public,"Vadodara/Baroda,Gujarat + 24 more",10 years old,10k-50k Employees (India),,
Maersk,,(2.3k Reviews),Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India),,
Titan Company,,(2.5k Reviews),Public,"Mumbai,Maharashtra + 122 more",4 years old,5k-10k Employees (India),,
MRF Tyres,,(2.0k Reviews),Public,"Chennai,Tamil Nadu + 158 more",76 years old,10k-50k Employees (India),,
Future Retail,,(4.5k Reviews),Public,"San Francisco,California + 187 more",35 years old,10k-50k Employees (India),,
Team Lease,,(1.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 198 more",6 years old,1k-5k Employees (India),,
Vishal Mega Mart,,(1.8k Reviews),Private,"Ahmedabad,Gujrat + 243 more",14 years old,10k-50k Employees (India),,
Jindal Steel and...,,(2.1k Reviews),Private,"Delhi/NCR,New Delhi + 89 more",70 years old,5k-10k Employees (India),,
Tractors and Far...,,(1.8k Reviews),Public,"Chennai,Tamil Nadu + 134 more",62 years old,5k-10k Employees (India),,
Huawei Technolog...,,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 88 more",20 years old,5k-10k Employees (India),,
Torrent Pharmace...,,(1.7k Reviews),Public,"Ahmedabad,Gujrat + 85 more",51 years old,10k-50k Employees (India),,
Tata Teleservice...,,(1.7k Reviews),Public,"Mumbai,Maharashtra + 150 more",26 years old,201-500 Employees (India),,
State Street Syn...,,(1.7k Reviews),Private,Mumbai + 12 more,18 years old,501-1k Employees (India),,
Bank of America,,(2.9k Reviews),Private,Charlotte + 25 more,24 years old,10k-50k Employees (India),,
Ceat Tyres,,(1.8k Reviews),Public,"Mumbai,Maharashtra + 94 more",64 years old,5k-10k Employees (India),,
RSPL Group,,(1.7k Reviews),Private,"Mumbai,Maharashtra + 144 more",35 years old,1k-5k Employees (India),,
ACC,,(1.8k Reviews),Public,"Mumbai,Maharashtra + 170 more",86 years old,5k-10k Employees (India),,
PNB MetLife,,(1.7k Reviews),Private,"Mumbai,Maharashtra + 239 more",21 years old,5k-10k Employees (India),,
